location_id,period_id
L002,P001
L001,P001
L003,P001
L004,P001
L004,P003
L004,P004
L004,P007
L006,P002
L006,P003
L006,P009
L005,P003
L008,P004
L008,P011
L007,P004
L010,P005
L010,P006
L011,P005
L011,P006
L017,P005
L015,P005
L016,P005
L018,P005
L012,P006
L012,P008
L019,P005
L013,P006
L014,P006
L020,P007
L021,P009
L022,P009
L023,P009
L024,P009
L025,P009
L026,P009
L027,P010
L027,P014
L009,P011
L009,P013
L028,P012
L028,P013
L028,P014
L029,P013
L030,P013
L031,P014
L031,P015
L031,P018
L031,P020
L032,P014
L032,P026
L032,P027
L032,P028
L032,P029
L033,P014
L034,P015
L035,P015
L036,P015
L036,P021
L036,P022
L036,P023
L036,P024
L037,P016
L038,P017
L039,P017
L040,P018
L040,P019
L040,P020
L041,P019
L043,P020
L043,P021
L043,P026
L044,P021
L044,P024
L044,P026
L045,P021
L046,P021
L047,P021
L048,P021
L048,P026
L042,P020
L042,P021
L049,P021
L050,P021
L051,P021
L052,P021
L053,P021
L054,P022
L054,P023
L054,P026
L055,P023
L055,P024
L056,P024
L057,P023
L057,P024
L058,P024
L059,P024
L060,P024
L061,P025
L062,P025
L063,P026
L064,P026
L065,P026
L066,P026
L067,P026
L069,P026
L070,P026
L071,P026
L072,P026
L068,P026
L073,P026
L074,P026
L075,P026
L076,P026
L077,P026
L078,P026
L079,P026
L080,P026
L081,P026
L082,P026
L083,P026
L084,P026
L085,P026
L085,P029
L086,P026
L087,P026
L088,P027
L089,P027
L090,P028
L091,P029
